hour,metric,date,value
8 - 9,EUR/MWh,"Mon,_06/09",63.08
8 - 9,EUR/MWh,"Tue,_06/10",86.14
8 - 9,EUR/MWh,"Wed,_06/11",82.32
8 - 9,EUR/MWh,"Thu,_06/12",77.27
MWh,2480.6,"Fri,_06/06",3146.4
MWh,2480.6,"Sat,_06/07",2724
MWh,2480.6,"Sun,_06/08",2892
MWh,2480.6,"Mon,_06/09",3105.8
MWh,2480.6,"Tue,_06/10",3209.6
MWh,2480.6,"Wed,_06/11",3667.7
9 - 10,EUR/MWh,"Fri,_06/06",8.44
9 - 10,EUR/MWh,"Sat,_06/07",59.48
9 - 10,EUR/MWh,"Sun,_06/08",-0.5
9 - 10,EUR/MWh,"Mon,_06/09",16.3
9 - 10,EUR/MWh,"Tue,_06/10",65.81
9 - 10,EUR/MWh,"Wed,_06/11",59.79
9 - 10,EUR/MWh,"Thu,_06/12",36.67
MWh,2478.5,"Fri,_06/06",3441.6
MWh,2478.5,"Sat,_06/07",3532.7
MWh,2478.5,"Sun,_06/08",2844.8
MWh,2478.5,"Mon,_06/09",2962.9
MWh,2478.5,"Tue,_06/10",3485
MWh,2478.5,"Wed,_06/11",4037
10 - 11,EUR/MWh,"Fri,_06/06",0.04
10 - 11,EUR/MWh,"Sat,_06/07",13.71
10 - 11,EUR/MWh,"Sun,_06/08",-2
10 - 11,EUR/MWh,"Mon,_06/09",9.85
10 - 11,EUR/MWh,"Tue,_06/10",23.09
10 - 11,EUR/MWh,"Wed,_06/11",20
10 - 11,EUR/MWh,"Thu,_06/12",0.01
MWh,2994.9,"Fri,_06/06",2971.7
MWh,2994.9,"Sat,_06/07",3555.5
MWh,2994.9,"Sun,_06/08",2735.7
MWh,2994.9,"Mon,_06/09",2761.3
MWh,2994.9,"Tue,_06/10",3290.6
MWh,2994.9,"Wed,_06/11",3782.1
11 - 12,EUR/MWh,"Fri,_06/06",1.98
11 - 12,EUR/MWh,"Sat,_06/07",9.44
11 - 12,EUR/MWh,"Sun,_06/08",-0.01
11 - 12,EUR/MWh,"Mon,_06/09",14.56
11 - 12,EUR/MWh,"Tue,_06/10",8.75
11 - 12,EUR/MWh,"Wed,_06/11",4.38
11 - 12,EUR/MWh,"Thu,_06/12",7
MWh,3389.2,"Fri,_06/06",2767.2
MWh,3389.2,"Sat,_06/07",3942.3
MWh,3389.2,"Sun,_06/08",3314.3
MWh,3389.2,"Mon,_06/09",3945.8
MWh,3389.2,"Tue,_06/10",3588.9
MWh,3389.2,"Wed,_06/11",4066.6
12 - 13,EUR/MWh,"Fri,_06/06",12.73
12 - 13,EUR/MWh,"Sat,_06/07",1.19
12 - 13,EUR/MWh,"Sun,_06/08",0
12 - 13,EUR/MWh,"Mon,_06/09",12.57
12 - 13,EUR/MWh,"Tue,_06/10",11.5
12 - 13,EUR/MWh,"Wed,_06/11",8.36
12 - 13,EUR/MWh,"Thu,_06/12",13.95
MWh,3183.8,"Fri,_06/06",3302.7
MWh,3183.8,"Sat,_06/07",3976.1
MWh,3183.8,"Sun,_06/08",3501.6
MWh,3183.8,"Mon,_06/09",3996
MWh,3183.8,"Tue,_06/10",3558
MWh,3183.8,"Wed,_06/11",3791.6
13 - 14,EUR/MWh,"Fri,_06/06",28.47
13 - 14,EUR/MWh,"Sat,_06/07",-0.01
13 - 14,EUR/MWh,"Sun,_06/08",0
13 - 14,EUR/MWh,"Mon,_06/09",10.7
13 - 14,EUR/MWh,"Tue,_06/10",14.05
13 - 14,EUR/MWh,"Wed,_06/11",10.23
13 - 14,EUR/MWh,"Thu,_06/12",15
MWh,2934.8,"Fri,_06/06",3880.3
MWh,2934.8,"Sat,_06/07",3958.1
MWh,2934.8,"Sun,_06/08",3731.8
MWh,2934.8,"Mon,_06/09",4049.9
MWh,2934.8,"Tue,_06/10",3625.4
MWh,2934.8,"Wed,_06/11",4101.2
14 - 15,EUR/MWh,"Fri,_06/06",24.7
14 - 15,EUR/MWh,"Sat,_06/07",-0.02
14 - 15,EUR/MWh,"Sun,_06/08",0
14 - 15,EUR/MWh,"Mon,_06/09",6.91
14 - 15,EUR/MWh,"Tue,_06/10",30.39
14 - 15,EUR/MWh,"Wed,_06/11",15.07
14 - 15,EUR/MWh,"Thu,_06/12",31.86
MWh,2973.8,"Fri,_06/06",3889.5
MWh,2973.8,"Sat,_06/07",3986.9
MWh,2973.8,"Sun,_06/08",3969.6
MWh,2973.8,"Mon,_06/09",3657.4
MWh,2973.8,"Tue,_06/10",3383.2
MWh,2973.8,"Wed,_06/11",3992.2
15 - 16,EUR/MWh,"Fri,_06/06",42.08
15 - 16,EUR/MWh,"Sat,_06/07",-0.02
15 - 16,EUR/MWh,"Sun,_06/08",0.59
15 - 16,EUR/MWh,"Mon,_06/09",7.05
15 - 16,EUR/MWh,"Tue,_06/10",62.32
15 - 16,EUR/MWh,"Wed,_06/11",33.52
15 - 16,EUR/MWh,"Thu,_06/12",40.34
MWh,2918.7,"Fri,_06/06",3841.1
MWh,2918.7,"Sat,_06/07",3948.8
MWh,2918.7,"Sun,_06/08",3970.7
MWh,2918.7,"Mon,_06/09",2734.8
MWh,2918.7,"Tue,_06/10",2815.1
MWh,2918.7,"Wed,_06/11",3602.4
16 - 17,EUR/MWh,"Fri,_06/06",82.1
16 - 17,EUR/MWh,"Sat,_06/07",5.09
16 - 17,EUR/MWh,"Sun,_06/08",14.45
16 - 17,EUR/MWh,"Mon,_06/09",10
16 - 17,EUR/MWh,"Tue,_06/10",89.13
16 - 17,EUR/MWh,"Wed,_06/11",79.2
16 - 17,EUR/MWh,"Thu,_06/12",63.75
MWh,2780.9,"Fri,_06/06",3637.1
MWh,2780.9,"Sat,_06/07",3624.1
MWh,2780.9,"Sun,_06/08",3652
MWh,2780.9,"Mon,_06/09",2331.2
MWh,2780.9,"Tue,_06/10",2730
MWh,2780.9,"Wed,_06/11",2892.3
17 - 18,EUR/MWh,"Fri,_06/06",138.02
17 - 18,EUR/MWh,"Sat,_06/07",89.21
17 - 18,EUR/MWh,"Sun,_06/08",91.58
17 - 18,EUR/MWh,"Mon,_06/09",87.84
17 - 18,EUR/MWh,"Tue,_06/10",105.72
17 - 18,EUR/MWh,"Wed,_06/11",104.96
17 - 18,EUR/MWh,"Thu,_06/12",91.33
MWh,2644.7,"Fri,_06/06",2668.2
MWh,2644.7,"Sat,_06/07",2584.9
MWh,2644.7,"Sun,_06/08",3015.3
MWh,2644.7,"Mon,_06/09",2514.9
MWh,2644.7,"Tue,_06/10",2599.6
MWh,2644.7,"Wed,_06/11",2721.2
18 - 19,EUR/MWh,"Fri,_06/06",211.38
18 - 19,EUR/MWh,"Sat,_06/07",135.63
18 - 19,EUR/MWh,"Sun,_06/08",157.8
18 - 19,EUR/MWh,"Mon,_06/09",122.93
18 - 19,EUR/MWh,"Tue,_06/10",136.56
18 - 19,EUR/MWh,"Wed,_06/11",141.78
18 - 19,EUR/MWh,"Thu,_06/12",130.91
MWh,2785.3,"Fri,_06/06",1994.8
MWh,2785.3,"Sat,_06/07",1931.3
MWh,2785.3,"Sun,_06/08",2389.1
MWh,2785.3,"Mon,_06/09",2651.3
MWh,2785.3,"Tue,_06/10",2332.9
MWh,2785.3,"Wed,_06/11",3108
19 - 20,EUR/MWh,"Fri,_06/06",146.92
19 - 20,EUR/MWh,"Sat,_06/07",196.03
19 - 20,EUR/MWh,"Sun,_06/08",151.36
19 - 20,EUR/MWh,"Mon,_06/09",160.22
19 - 20,EUR/MWh,"Tue,_06/10",201.98
19 - 20,EUR/MWh,"Wed,_06/11",150.59
19 - 20,EUR/MWh,"Thu,_06/12",189.44
MWh,2485.6,"Fri,_06/06",2745.8
MWh,2485.6,"Sat,_06/07",2103.6
MWh,2485.6,"Sun,_06/08",2660.1
MWh,2485.6,"Mon,_06/09",2775
MWh,2485.6,"Tue,_06/10",2668.5
MWh,2485.6,"Wed,_06/11",3727.5
20 - 21,EUR/MWh,"Fri,_06/06",190.19
20 - 21,EUR/MWh,"Sat,_06/07",225.36
20 - 21,EUR/MWh,"Sun,_06/08",177.62
20 - 21,EUR/MWh,"Mon,_06/09",226.02
20 - 21,EUR/MWh,"Tue,_06/10",233.45
20 - 21,EUR/MWh,"Wed,_06/11",219.16
20 - 21,EUR/MWh,"Thu,_06/12",220.26
MWh,2535,"Fri,_06/06",2907.7
MWh,2535,"Sat,_06/07",2086.4
MWh,2535,"Sun,_06/08",2788
MWh,2535,"Mon,_06/09",2763.3
MWh,2535,"Tue,_06/10",2725.4
MWh,2535,"Wed,_06/11",3606.4
21 - 22,EUR/MWh,"Fri,_06/06",136.97
21 - 22,EUR/MWh,"Sat,_06/07",163.26
21 - 22,EUR/MWh,"Sun,_06/08",159.02
21 - 22,EUR/MWh,"Mon,_06/09",163.47
21 - 22,EUR/MWh,"Tue,_06/10",139.09
21 - 22,EUR/MWh,"Wed,_06/11",185.7
21 - 22,EUR/MWh,"Thu,_06/12",152.25
MWh,2559.2,"Fri,_06/06",2862.9
MWh,2559.2,"Sat,_06/07",2219.1
MWh,2559.2,"Sun,_06/08",2858.4
MWh,2559.2,"Mon,_06/09",2671
MWh,2559.2,"Tue,_06/10",2979.1
MWh,2559.2,"Wed,_06/11",2872.9
22 - 23,EUR/MWh,"Fri,_06/06",125.37
